type,fact1,fact2,logic,template
bridge_subspace,association,association,TRUE,What is the relationship between <measure_2_1> and <measure_2_2> in the <bridge> that has a highest association between <measure_1_1> and <measure_1_2>?
bridge_subspace,association,categorization,TRUE,List all the <breakdown_2> in the <bridge> which has a highest association between <measure_1_1> and <measure_1_2>.
bridge_subspace,association,distribution,TRUE,Show me the <measure_2> over <breakdown_2> in the <bridge> which has a highest association between <measure_1_1> and <measure_1_2>.
bridge_subspace,association,difference,TRUE,What is the difference between <measure_2> of <focus_2_1> and <focus_2_2> in the <bridge> which has a highest association between <measure_1_1> and <measure_1_2>?
bridge_subspace,association,extreme,TRUE,Which <breakdown_2> has the highest <measure_2> in the <bridge> that has a highest association between <measure_1_1> and <measure_1_2>?
bridge_subspace,association,outlier,TRUE,Is there any <breakdown_2> has an uncommon <measure_2> in the <bridge> which has a highest association between <measure_1_1> and <measure_1_2>?
bridge_subspace,association,proportion,TRUE,What is the ratio of the <focus_2>'s <measure_2> in the <bridge> that has a highest association between <measure_1_1> and <measure_1_2>.
bridge_subspace,association,rank,TRUE,Can you show me the ranking list of <breakdown_2> order by <measure_2> in the <bridge> which has a highest association between <measure_1_1> and <measure_1_2>.
bridge_subspace,association,trend,TRUE,What is the tendency of the <measure_2> in the <bridge> which has a highest association between <measure_1_1> and <measure_1_2>?
bridge_subspace,association,value,TRUE,What is the sum of <measure_2> in the <bridge> which has a highest association between <measure_1_1> and <measure_1_2>?
bridge_subspace,categorization,association,TRUE,What is the relationship between <measure_2_1> and <measure_2_2> in the <bridge> which has four <breakdown_1>s?
bridge_subspace,categorization,categorization,TRUE,List all the <breakdown_2>  in the <bridge> which has four <breakdown_1>s?
bridge_subspace,categorization,distribution,TRUE,Show me the <measure_2> over <breakdown_2> in the <bridge> which has four <breakdown_1>s?
bridge_subspace,categorization,difference,TRUE,What is the difference between <measure_2> of <focus_2_1> and <focus_2_2> in the <bridge> which has four <breakdown_1>s?
bridge_subspace,categorization,extreme,TRUE,Which <breakdown_2> has the highest <measure_2> in the <bridge> which has four <breakdown_1>s?
bridge_subspace,categorization,outlier,TRUE,Is there any <breakdown_2> has an uncommon <measure_2> in the <bridge> which has four <breakdown_1>s?
bridge_subspace,categorization,proportion,TRUE,What is the ratio of the <focus_2>'s <measure_2> in the <bridge> which has four <breakdown_1>s?
bridge_subspace,categorization,rank,TRUE,Can you show me the ranking list of <breakdown_2> order by <measure_2> in the <bridge> which has four <breakdown_1>s?
bridge_subspace,categorization,trend,TRUE,What is the tendency of the <measure_2> in the <bridge> which has four <breakdown_1>s?
bridge_subspace,categorization,value,TRUE,What is the sum of <measure_2> in the <bridge> which has four <breakdown_1>s?
bridge_subspace,distribution,association,TRUE,What is the relationship between <measure_2_1> and <measure_2_2> in the <bridge> that has an uncommon distribution of <measure_1> over <breakdown_1>?
bridge_subspace,distribution,categorization,TRUE,List all the <breakdown_2>  in the <bridge> that has an uncommon distribution of <measure_1> over <breakdown_1>?
bridge_subspace,distribution,distribution,TRUE,Show me the <measure_2> over <breakdown_2>  in the <bridge> that has an uncommon distribution of <measure_1> over <breakdown_1>?
bridge_subspace,distribution,difference,TRUE,What is the difference between <measure_2> of <focus_2_1> and <focus_2_2>  in the <bridge> that has an uncommon distribution of <measure_1> over <breakdown_1>?
bridge_subspace,distribution,extreme,TRUE,Which <breakdown_2> has the highest <measure_2>  in the <bridge> that has an uncommon distribution of <measure_1> over <breakdown_1>?
