fact,subspace,breakdown,measure,template,focus,,,,,,,,,,,,
*,*,*,*,present the data,*,,,,,,,,,,,,
association,*,*,*,find correlations,*,,,,,,,,,,,,
categorization,*,*,*,find categories,*,,,,,,,,,,,,
distribution,*,*,*,show distributions,*,,,,,,,,,,,,
difference,*,*,*,find differences,*,,,,,,,,,,,,
extreme,*,*,*,show extremes,*,,,,,,,,,,,,
outlier,*,*,*,show outliers,*,,,,,,,,,,,,
proportion,*,*,*,show proportion,*,,,,,,,,,,,,
rank,*,*,*,show some ranks,*,,,,,,,,,,,,
trend,*,*,*,show trends,*,,,,,,,,,,,,
value,*,*,*,show some values,*,,,,,,,,,,,,
*,subspace,*,*,Tell me some facts about <subspace>,*,,,,,,,,,,,,
*,*,breakdown,*,Show me some information about each <breakdown>,*,,,,,,,,,,,,
*,*,*,measure,Tell me something about <measure>,*,,,,,,,,,,,,
association,subspace,*,*,find correlations in <subspace>,*,,,,,,,,,,,,
categorization,subspace,*,*,find categories in <subspace>,*,,,,,,,,,,,,
distribution,subspace,*,*,show distributions in <subspace>,*,,,,,,,,,,,,
difference,subspace,*,*,find  differences in <subspace>,*,,,,,,,,,,,,
extreme,subspace,*,*,show extremes in <subspace>,*,,,,,,,,,,,,
outlier,subspace,*,*,show outliers in <subspace>,*,,,,,,,,,,,,
proportion,subspace,*,*,show proportion in <subspace>,*,,,,,,,,,,,,
rank,subspace,*,*,show some ranks in <subspace>,*,,,,,,,,,,,,
trend,subspace,*,*,show trends in <subspace>,*,,,,,,,,,,,,
value,subspace,*,*,show some values in <subspace>,*,,,,,,,,,,,,
association,*,breakdown,*,"For every <breakdown>, which are connected.",*,,,,,,,,,,,,
categorization,*,breakdown,*,find categories of <breakdown>,*,,,,,,,,,,,,
distribution,*,breakdown,*,show distributions over <breakdown>,*,,,,,,,,,,,,
difference,*,breakdown,*,find differences within <breakdown>,*,,,,,,,,,,,,
extreme,*,breakdown,*,which <breakdown> 's value is extreme.,*,,,,,,,,,,,,
outlier,*,breakdown,*,which <breakdown> 's value is an outlier.,*,,,,,,,,,,,,
proportion,*,breakdown,*,what is the proportion of every <breakdown>,*,,,,,,,,,,,,
rank,*,breakdown,*,what is the rank of <breakdown>,*,,,,,,,,,,,,
trend,*,breakdown,*,show trends over <breakdown>,*,,,,,,,,,,,,
association,*,*,measure1,which are relevant to <measure_1>,*,,,,,,,,,,,,
association,*,*,measure,what is the correlation between <measure_1> and <measure_2>,*,,,,,,,,,,,,
distribution,*,*,measure,what is the distributions of <measure>,*,,,,,,,,,,,,
difference,*,*,measure,what are the differences between <measure_1> and <measure_2>,*,,,,,,,,,,,,
extreme,*,*,measure,find an extreme value in <measure>,*,,,,,,,,,,,,
outlier,*,*,measure,"In <measure>, which one is an outlier.",*,,,,,,,,,,,,
proportion,*,*,measure,how much of percentage out of  <measure>,*,,,,,,,,,,,,
rank,*,*,measure,"based on <measure>, which are the top 3 ranked.",*,,,,,,,,,,,,
trend,*,*,measure,what is the trend of <measure>,*,,,,,,,,,,,,
value,*,*,measure,what is <measure>,*,,,,,,,,,,,,
*,subspace,breakdown,*,How is <breakdown> in <subspace>,*,,,,,,,,,,,,
*,subspace,*,measure,Tell me some facts about <measure> in <subspace>,*,,,,,,,,,,,,
